Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Portuguese Polish IT Support Analyst,"L-1 troubleshooting experience across Microsoft Operating Systems including Windows 7, Win10, MS Exchange /Outlook environments and browser functions, Experience is providing application L-1 support using standard operating procedure instructions","Airline Ticketing, English, Event Ticketing, Incident Management, Portuguese, ServiceNow, Standard Operating Procedure (SOP), Technical Support, Ticketing Systems, Troubleshooting",1 year,Kouegoue Technology Global,Poland Remote,3 weeks ago
Tech AI Talent Hunter,"Manage full-cycle recruitment processes in several technical and corporate areas reaching out to the best candidate; Manage a talent pool and the relationship with professionals; Maintain close communication with hiring managers throughout the recruitment cycle to understand the position, team needs, culture, and values; Contribute ideas to improve our processes, employer brand, and hiring strategy","Communication, Research, Business Development, Candidate Experience, Cybersecurity, English, Hunter, Negotiation, Penetration Testing, Social Media",5+ years,Summ.link,"Ghent, Flemish Region, Belgium Remote",2 weeks ago
Senior Data Analyst,"Create new Explores to enable non-technical analysts to access data, build dashboards, and solve critical business challenges on Looker technology","AWS or Google cloud technologies (Redshift or BigQuery), Python, Looker and LookML, Tableau, PowerBI, Business Objects, MicroStrategy or other BI tools",3+ years,Tillster,Portugal,3 weeks ago
Full-stack Developer (React/Node) - EU Remote Jobs,Looking for a talented developer,"software development experience, JavaScript (Core, DOM APIs), Node.js and React.js, Typescript, AWS, GOF patterns, Strong organizational skills, Soft skills — we value clear and effective communication, at the same time don’t force you becoming a public speaker",5+ years,Lemon.io,"Canada, Europe, LATAM, UK, Ukraine",1 week ago
Senior Frontend Engineer - EU Remote Jobs,We are looking for a Senior React Engineer to join our core Engineering team,"JavaScript, jobs in crypto, React, Typescript",3 years,Pooky,"Europe, UK",2 weeks ago
(Senior) HR Project / Program Manager m/f/d - Remote,"Select and manage ongoing relationships with external contractors so that the organization receives satisfactory standards of service. Lead, direct, evaluate, and develop a team of project managers to ensure that projects are completed on-time, within budget and according to project specifications","project and/ or program management and related experience, HR Transformation Project, Project Management Professional (PMP), Excellent analytical skills, Strong interpersonal skills and extremely resourceful, Competency in Microsoft applications including Word, Excel, and Outlook",5-8 years,Xylem,"Europe, UK, US",2 weeks ago
Digital Analyst (f/m/x) - EU Remote Jobs,"Demonstrate your capacity to consult various stakeholder groups independently and confidently, Show deep understanding of business goals and converting them into data collection requirements / specifications, Handle and transform data, analyse data, validate data and visualize data to reveal value-adding insights","PowerBI, Google Analytics, SQL, Python/PySpark/Pandas, or similar), Google Tag Manager, Digital Analytics focused on Lead Generation, e-Commerce and/or CRO, A/B testing strategy & methodologies, DAX",1 year,Mercedes Benz,Portugal,1 week ago
Legal & Procurement Business Partner - EU Remote Jobsness-partner/,"Advise on corporate and commercial law, EU grant management framework, employment law, contracts, data protection, procurement, conflicts of interest, ethics, anti-fraud, non-profit requirements and operations.","Communication, cross cultural understanding and empathy, planning and budgeting, Problem-solving attitude, organisational skills and ability to drive compliance, legal, procurement and/or non-profit strategy implementation steps and tangible outcomes, Ability to build and maintain relationships at all levels in a complex, multi-country, multi-stakeholder, multi-entity organisation",1-2/2-3 years,EIT Climate KIC,"Belgium, Germany, Netherlands, Poland, UK",3 weeks ago
"Anti-Money Laundering, Financial Crime Investigator - EU Remote Jobs","Investigating alerts (we call them tasks) raised by our transaction monitoring systems, analysing customer accounts to identify risk or suspicious activity, and recording your decisions in a clear and concise rationale","experience working in operational financial crime, International Compliance Association (ICA), Association of Certified Anti-Money Laundering Specialists (ACAMS) or an equivalent body",1 year,Monzo Bank,"Remote, UK",2 weeks ago
"Revenue Accounting & Commercial Controllership Manager, EMEA - EU Remote Jobs","Develop collaborative, responsive relationships with regional operating leaders in Sales, Commercial Operations and R&D and be their primary point of contact to navigate revenue related Finance matters","revenue recognition experience (multiple element arrangements with SaaS), entrepreneurial spirit and highly responsive customer service mindset, Superb attention to detail, strong planning and organization skills, and the ability to multi-task, prioritize and deliver in a fast-paced, dynamic environment",6-8 years,Axon,"Germany, Netherlands, UK",2 weeks ago
Merger and Acquisition Specialist - EU Remote Jobs,"Monitor the best acquisition opportunities on the market, contact and qualify websites/companies owner(s), organize meetings with high-level team members","M&A transaction execution, business development and growth, communication skills, organizational skills, CRMs, iGaming, Crypto, Media & emerging tech markets",2 years,Find.co,"Europe, UK",1 month ago
E-Learning Specialist (Flex/Remote),Carry out an objective evaluation of the effectiveness of training programs through performance-based measurement assessment and feedback analysis.,"360Learning, Genially, or any other LMS too",3 years,Scaleway,"France, Worldwide",1 month ago
Product Analyst - Casual Games - EU Remote Jobs,"Analyse data to quantify the relationships between game elements, player engagement and marketing strategies, using statistical analysis and data visualisations","Python for data analysis and visualisation, SQL, Tableau, Strong communication skills through comprehensive reporting and presentations",1 year,Kwalee,"Europe, UK",2 weeks ago
Senior reporter - EU Remote Jobs,"You’ll be writing quick turnaround news stories and longer analytical pieces, hunting down scoops and delving into company accounts. You’ll star in our weekly podcast, and moderate online and in-person panel discussions hosted by Sifted","journalism , comfortable writing in a variety of formats, from news to features to data stories, hosting virtual and in-person events, and excited to work in an environment where things move fast and often change",3 years,Sifted,"Europe, UK",3 weeks ago
Scrum Master - EU Remote Jobs,We are looking for an Agile Coach / Scrum Master to join our early-stage FinTech!,"Scrum, Kanban, Jira/Confluence power user. JQL, empathy and situational awareness,",5+ Years,Paytrix,"Ireland, Poland, Portugal, UK",1 week ago
Product Specialist - EU Remote Jobs,"Being active on social media by posting regularly to position yourself as a subject matter expert, connecting and following prospects and provide value where possible","Life Sciences industry in a consulting position, software solutions in the Life Sciences industry, sales processes, empathy for peers, direct reports, and customers, communication skills and the ability to motivate behavior change",3+ years,Scilife,Europe,6 days ago
Strategy Finance Manager / Associate - EU Remote Jobs,"key part of many strategic projects, M&A, fundraising, Long term business planning, new product business cases, equity raise, IPO preparation and generally supporting the CFO and management in the strategy development of the company","banking, transaction services, private equity, venture capita, equity research or investment banking or consulting, Strong analytical skillset, financial and data management skills, including strong PowerPoint and Excel skills, excellent planning, organizational skills, excellent attention to detail and strive for continuous improvement",3-6 years,GoStudent,"Austria, Bulgaria, France, Germany, Greece, Italy, Netherlands, Poland, Spain, Turkey, UK",1 week ago
UX Researcher - EU Remote Jobs,"Partner with UX designers, product managers and the development team, using a blend of design thinking and UX research approaches to iteratively enhance Elastic products","Deep experience within UX research, quantitative and qualitative user research, SaaS platforms and customers, dense data-sets, analytics and telemetry, in-depth customer interviews, design, product and development teams",1-3 Years,Elastic,"Austria, Belgium, Denmark, Greece, Hungary, Ireland, Italy, Luxembourg, Malta, Norway, Poland, Romania, Slovenia, South Africa, Spain, Sweden",3 weeks ago
Technical Project Manager (Spain) - EU Remote Jobs,"Participate in implementation client-facing kick-offs, requirement gathering sessions and configuration review meetings","software implementation, customer service and/or transferable experience, collaboration, negotiation and diplomacy, managing multiple high priority projects simultaneously and successfully",2 years,Emburse,Spain,4 weeks ago
Business Analyst (OMS focused) - EU Remote Jobs,"On a day-to-day basis, you will be the one to oversee the bigger picture, work closely with your team on crafting, pitching, and delivering an appropriate solution, and support the client in the creation of roadmaps and product backlogs. You will be part of a multidisciplinary, agile scrum team, that consists of people at Valtech’s side, as well as the client’s.",", optimising e-commerce and large-scale digital experience platforms, such as Sitecore, Adobe Experience Manager, or Episerver/Optimizely, we-before-me mindset, always keen to celebrate successes together",5+ years,Valtech,"Denmark, France, Germany, Netherlands, Sweden, Switzerland, UK, Ukraine",3 weeks ago
Intelligence Data Analyst and Support Assistant Manager,"Loves to use data and undertakes analysis of data to identify trends and emerging threats and disseminate/present findings to internal and external customers,…","linux/unix, network monitoring, incident response, systems administration, security accessment",2 years,Lloyds Banking Group,Hybrid remote in London,1 week ago
Junior Data Analyst,"Involvement in a broad range of tangential projects which may be integrated with or benefit the RM service.
General Support (Customer Assurance data support).","Enterprise Solutions Architecture, business inteligence, reports, reporting",2 years,CONTEXT WORLD,Remote,2 weeks ago
Reporting & Insights Analyst,Your primary responsibility will be translating large quantities of data from a wide and varies set of data sources and complex systems.,"Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",2 years,Heineken,Remote,2 weeks ago
Data Analyst Intern,"Draw system data from multiple sources into excel or other suitable tool.
Interpret and present data from the reports to key stakeholders.","Configuration Management, Developer, Linux, Management, Process Engineering, VMware",2 years,Bombardier,London,2 weeks ago
Data Analyst,"Owning projects from scope through to delivery.
Experience using Tableau /or Power BI and writing SQL queries.
Pace, agility, and innovative thinking.","FICO, AR, AP, Asset Management, HAHA",2 years,ASDA,Hybrid remote in Leeds LS11,2 weeks ago
Data Services Implementation Manager,"Ability to articulate complex data problems or issues in a simple language that keeps audiences engaged.
Previous experience in developing and maturing data…","Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless",2 years,Police Digital Service,Remote,6 days ago
Project Manager (ref: PR2089),"They are at the initial stages of the project and this individual will play a key role in the selection of the system, work closely with the third party…",".NET , C#, MVC, RESTful web services, HTTP, AWS, Azure, OOP",1 year,Projentum,London,2 hours ago
Data Governance Analyst,"Professional experience in data governance, data management, privacy or risk roles - experience of operating in media or technology industries would be…","C++, Developer, Development, JavaScript, User Interface",2 years,Reach,Remote,2 days ago
Data Analyst,"NSD seeks two Data Analysts to provide data analysis and audit support activities for a portfolio of national networks and services, as well as additional…",Openstack,3 years,NHS Scotland,Remote in Glasgow,3 days ago
Project Manager,"Preparation and maintenance of project documentation.
The purpose of this role is to manage assigned business projects from initiation to completion, meeting or…","Unix, IAM, Scripting knowledge, OIM, Windows, Linux",3 years,Equiniti,Remote,2 days ago
Data Engineer,"Knowledge of modern Java alternatives (Golang or Rust).
Deep and broad understanding of Scala (or Java/Kotlin).
Distributed version control (Git preferred).","Java, OSS",5 year,Lloyds Banking Group,Hybrid remote in Chester,2 weeks ago
SOC ANALYST,"Confidence in effectively communicating technical incidents or security threats to non-technical stakeholders.
Security monitoring and first response.","Consulting, Project, Sales, Sales Engineer",2 year,Dynamic Search Solutions,Remote,2 hours ago
Project Manager,Evaluating the success of the project against its objectives and sharing lessons or best practice with other organisations or project managers.,mobile device,3 year,Police Digital Service,Remote,2 days ago
Data Scientist,"Head of Data Science and Machine Learning (Computer Vision).
£200000 - £280000 per annum.
Head of Data Science & Machine Learning (Computer Vision) Blockchain…","QA, Compliance testing",4 year,Xcede,Remote in England,2 weeks ago
Project Manager (Remote),"Desired Result: Deliver projects which meet or exceed client expectations.
Essential Function: Successfully manage complex concurrent projects from project win…","SkillAutomation Anywhere, UIPath, Blue Prism, or WinAutomation.",5 year,KLDiscovery,Remote in United Kingdom,2 weeks ago
Data Analyst,Work closely with the Marketing Database manager and the Business Intelligence data architects to manage the business data glossary and attribute standards.,"Desktop, Hardware, Network, Software, Systems, Windows",6 year,Jet2.com and Jet2holidays,Hybrid remote in Leeds,2 days ago
Project Manager - Submarines,"Familiar and delivered projects in accordance with NEC contract.
You will identify and acquire the means to achieve project requirements.","Analysis, Analyst, Application, Business Analyst, Business Requirements, Excel, IT, PowerPoint, Project",1 year,Rolls-Royce,Hybrid remote in Derby,2 weeks ago
"Journalism Researcher (China), Data and Analysis","You will be using your extensive knowledge to work on data journalism projects, fact-checking articles and simple online explanations of complex issues.","System Testing, Load/Performance Testing, FIX.FAST, C/C++, Java, Windows, Linux",2 years,BBC,Birmingham,2 hours ago
Graduate Data Analyst,"Degree level (or equivalent) in a relevant discipline, or Specific related experience.
Maintenance of pricing related data in relevant systems.","Agile, CASE, Consulting, Defect Management, Manager, Management, Project, Project Management",3 years,ENGIE,Leeds LS12,3 days ago
IUCS Service Improvement Manager - Data Analyst,The ability to interpret complex data to help services see where improvements can be made is a key element of the role.,"MATLAB, LabVIEW, Microsoft SQL",4 years,Dorset HealthCare University NHS Foundation Trust,Poole BH17,2 weeks ago
Project Manager,"Days leave per year (including 6 University Closure days and 8 days public holidays).
Excellent pension scheme (Employer contributions for USS are currently 21…","This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team.",5 years,University of Southampton,Hybrid remote in Southampton,7 days ago
Data Engineer,"Liaising with data and BI engineers, data modellers and non-technical stakeholders to ensure that your work always contributes to achieving Reach’s broader data…","Angular.JS, React, Node.js, JavaScript",6 years,Reach,Remote,3 hours ago
Project Manager - Global Logistics Services,"Manage project plans, report on status and update schedules from proposal submission through to task completion.
Project Management Qualified (APMP/Prince 2).","selenium testing automation, SQL, Business Intelligence tools",7 years,Leidos,Remote,2 days ago
Data Analyst (Graduate Trainee),Applicants should be passionate about data with excellent statistical and data analytical skills and have experience of working with large data sets.,"Splunk, .NET, C++",8 years,University of Aberdeen,Remote in Aberdeen,1 day ago
Project Manager (PM),"Effectively leading and motivating all project team members throughout project.
A degree or equivalent industry experience.","C and C++, Linux, UNIX, Javascript, SDLC",9 years,Ingeus UK,Remote,2 weeks ago
Data Analyst,"Management and development of a junior data analyst.
With 1.3m household customers, there is a real depth of data that can be leveraged to optimise business…",Bachelor's degree with 5 years of experience developing software applications in C++ preferably in a Linux environment is required. Experience with .NET or Java preferred.,5 years,Pelican Business Services,Nailsea,3 days ago
IT Project Manager (Agile & Waterfall),"The area, or Lab, you'll work within will be made up of multidisciplinary professionals including engineers, analysts, architects, business users, product…","Development, IT, Network, Project, Sales",3 years,Lloyds Banking Group,Hybrid remote in London,2 weeks ago
Data Analyst,"Provide data / analysis to other key stakeholders as required, for example to Operations Directors/Managers and the Heads of Contact Centres.","Highly Desired Experience and Skills include: Experience working in an iSeries (AS/400) environment. 2+ years of experience mapping in and supporting Gentran Server for iSeries environments. Experience with creation and maintenance of Trading Partners. Familiar with content management platforms and paradigms. SQL2014, HTML, CA2E, RPG, CL, and DB2 experience. Microsoft Office Suite, Office 365, Outlook. Ability to interface Client/Server applications as related to the iSeries. Highly organized. Great attention to detail. Strong oral and written communication skills. Ability to learn quickly and efficiently to meet the demands of multiple stakeholders eCommerce Responsibilities are a plus but will be something you will grow into in time:Work across teams to determine content needs. Edit, configure and publish content. Coordinate content publishing schedules. Create and run ad hoc SQL queries. Upload new users and new user information to the content management system. Become a subject matter expert and provide first level platform support",4 years,Marston Holding Limited,Hybrid remote in Oldham,2 days ago
Senior Business Analyst - Data Services,"Ideally, you also have experience working across implementing data platforms, operational analytics or advanced analytics, and building data products, either…","Scheduling, Primavera 6.0, Unifier, MS Project Stadard, EIT, Construction, Pharma or Biotech",5 years,Form3 Financial Cloud,Remote,1 week ago
PROJECT MANAGER – DEFENCE FUTURE PROGRAMMES,"You will have a degree in a relevant subject, such as data, digital, cyber security, economics or business.
We offer excellent development, a competitive salary…","AI, Maya, Browzwear, 3D",6 years,Rolls-Royce,Bristol,7 days ago
Project Analyst,"Experience of finance and/or technology projects.
Train project managers on PMO tools and methodology and ensures consistent adherence.","Java and Java EE, JSF, Spring, Struts, and Hibernate",7 years,AstraZeneca,Luton LU1,2 days ago
Data Strategy Manager,Support the process of data enrichment by expanding existing data with additional information by using reliable data sources and methods to find capture more…,"Consulting, Database, Lifecycle, Management, Metrics, PMP, Project, Sales, SalesForce, Scheduling, Telecommunications",8 years,Reckitt,Slough SL1,2 weeks ago
Project Manager,You will be responsible for all stages of the project lifecycle in accordance with industry best practices and for ensuring that projects from the force…,Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.,9 years,Nottinghamshire Police,Nottingham,2 weeks ago
Data Engineer,"Able to collaborate with data analysts on topics like data quality and practices.
Work with data analyst to strive for greater functionality in our data systems…",".NET and C#, SQl",5+ years,SS&C,Remote,1 week ago
"Assistant Manager, Data Analyst Transport","Minimum 4+ years relevant work experience as data scientist / analysts or similar role.
A Bachelor's degree in Engineering or Computer Science or Mathematics.","Manual and Automation Mobile testing experience-Desktop applications, Consumer Electronics Devices, and Websites",3 years,Grab,Quarter,2 weeks ago
Project Data Manager,Monitors and communicates project progress to the Sponsor and project team including use of project status reports and tracking tools/metrics to enable in…,"Project Management, Operations Analysis, BANKING, (Financial Services, Wealth Management, Regulated Environment, Info Sec, Security and Risk Management, Experience using source code control systems, such as Git, Stash, Subversion, or CVS and build/integration tools like Jenkins. * Experience with Java, MongoDb & Tomcat * Exposure or experience deploying applications to a cloud based environment * Experience with Asynchronous networking and using REST API frameworks * Work with continuous integration frameworks such as Jenkins, intelliJ or other Java IDE",1 year,Syneos Health Clinical,Remote,2 weeks ago
"PHA_Data Analyst (Health Protection), Band 5","Salary: Band 5 (£27k - £33k).
Thu, 06 April 2023 @ 6:00 PM.
Successful applicants have the opportunity to request Flexible Working from the 1st day of their…","Informatica Admin,Oracle,Sql",5+ years,Health and Social Care Trust,Belfast,2 days ago
Assistant Project Manager/ Project Manager,"Developing and maintaining a detailed project plan that embraces all elements of the project.
Educated to degree level or equivalent.","Working knowledge of Hadoop, Spark, Redshift, DynamoDB, Kinesis, or other big data technologies. PREFERRED QUALIFICATIONS - Experience with supervised and unsupervised machine learning models. - Experience with collaborative filtering and recommender systems. - Experience running and evaluating AB Tests.",3+ years,BAE Systems,Rochester,2 weeks ago
Data Engineer,Bachelor’s degree in an analytical-related field such as Statistics or Computer Science or equivalent professional experience.,"Analysis, Analyst, Business Analyst, Consulting, Data Analysis, Development, Excel, Manager, Outlook, PowerPoint, Project, SQL, Supervision",5+ years,Appriss Retail,Remote,3 days ago
Junior Project Manager,"The role will be to deliver small projects, or elements of larger projects using recognised project management principles, tools and techniques.","SQL, VMWare, Desktop, Networking, Systems",3 years,Defence Equipment & Support,Hybrid remote in Carterton OX18,1 week ago
Data Governance Manager,"Robust understanding of a variety of data management concepts such as data governance, data control frameworks and data architecture.","SSIS, Analyst, SQL",5+ years,National Grid,Warwick CV34,2 days ago
Project Analyst,"Experience of directing business analysts and identifying resource requirements against the project plans.
Day-to-day, you'll develop aspects of project plans,…","Strong Java, Spring Framework and Hibernate ORM. The ideal candidate will have experience building their own e-commerce product or working with an existing ecommerce site. Looking for typical eCommerce experience such as PIM, PCI, shopping carts, payment gateways, catalogs, etc. Any experience with BroadLeaf, ElasticPath or KonaKart is a plus.",3 years,NatWest Group,Manchester,3 days ago
Research Project Manager,"Management of project processes to develop, maintain and monitor project plans.
The project manager will support Sector Specialists to develop Innovation…","Electrical Engineering degree with experience in scientific programming, especially C/C++, GPS or other navigation systems; geolocation observable processing.",1 year,University of Bristol,Hybrid remote in Bristol BS8,3 hours ago
Data Engineer,"Every project brings a new challenge, whether that be new technologies, varied data sources from diverse source systems, or specific business requirements.","Active Secret clearance required, knowledge of product development and procedures, including knowledge of general accounting. Ability to manage a diverse range of technical operations",5+ years,Specsavers,Remote,6 days ago
Data Protection and Privacy Manager,Assist and support the data protection and privacy managers in the UK and Northern Europe in the processing of data subject request and privacy relates cases…,".Net, TFS, Web services, WCF, JQuery, AJAX, JavaScript, VB, VB Script, XML/XSL, CSS, architectural design patterns",3+ years,Specsavers,Remote,2 weeks ago
Junior Project Manager,"The role will be to deliver small projects, or elements of larger projects using recognised project management principles, tools and techniques.","Angular.JS, React, Node.js, JavaScript",5+ years,Defence Equipment & Support,Hybrid remote in Lossiemouth IV31,3 days ago
Data Analyst Apprentice (CM&P) - Bristol,Whether it’s managing that key data to ensure it is of the highest quality or using the data to help the business make decisions or manage and understand…,"Development, IT, Network, Project, Sales",3 years,Lloyds Banking Group,Hybrid remote in Bristol,1 week ago
Junior Project Manager,"Develop and maintain project plans, track progress, and ensure timely delivery of projects.
The ability to work with multiple discipline projects.","HTML, JavaScript, CSS, AJAX",5+ years,OD Talent Solutions Limited,Hybrid remote in Bristol BS2,2 days ago
Project Engineer,"Act as project focal point with supervised authority within the limits of the project parameters.
Appraise the relevant project management focal point of the…",".Net, Algorithms, Developer, JavaScript, Linux, OOD, OOP, Programming, Systems, Windows",3 years,Petrofac,Aberdeen,1 week ago
Oliver Wyman Digital: Data & Analytics - Entry Level Analyst - Newcastle,"Managing the execution of individual project workstreams.
Supporting our Partner group in project delivery through accurate and high quality execution.","Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",1 year,Oliver Wyman Group,Newcastle upon Tyne NE1,2 days ago
PMO (Programme Management Office) Data & Insights Analyst,"Monitor projects to ensure quality data is being captured.
Experience with working with project and programme managers, and 3rd party suppliers.","technical management experience Track record of building and delivering mission critical, 24x7 production software systems",5+ years,Affinity Water,Hybrid remote in Hatfield AL10,1 day ago
Assistant Project Manager,"You will manage multiple client or internal projects from initiation to delivery.
Relevant Experience or Degree in: No designated field; or equivalent training…","Angular JS, Java/J2EE, Spring , Hibernate",3+ years,Global Payments,York,1 week ago
Reference Data Analyst,"Experience in Risk, Finance and/or Treasury areas of corporate and/or investment banking.
Providing a data domain lens on all data management standards while…","Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences, Android programming will be a plus.",5+ years,Barclays,Hybrid remote in Glasgow,3 hours ago
Data Analyst,You will design and create data cubes and multi-dimensional structures to support reporting requirements and convert identified existing reporting applications…,"Node.js, JavaScript",3 years,Bromford,Wolverhampton WV10,1 week ago
Data Analyst / Engineer,"Experience working in the Insurance Sector, preferably in a data, claims or premium processing orientated role.","SAP APO, MS Excel, BW reporting, Pharma or Biotech",1 year,The Ardonagh Group,London EC3R,2 days ago
Assistant Project Manager,"Responsible for documenting resource requirements and plans for projects or programmes or portfolios.
Drafting project governance documentation (e.g. business…",Technical Infrastructure Project Manager,5+ years,Essex County Council,Chelmsford,2 days ago
Data Analyst,"We are happy to take a recent graduate as long as they have excellent data skills and a degree in a relevant discipline such as maths, data science etc.",SQL Reporting Services Suite,3+ years,JLL,Oxfordshire,1 week ago
Data Processor / Data Engineer,"Some experience with data storage (be it databases or platform specific etc.).
A proven track record of delivery data to clients, stake holders or end users.","Project coordinator,procurement,budget",5+ years,Sky,Hybrid remote in London,2 weeks ago
Junior Data Analyst,"The teams create sustainable data pipelines for data quality monitoring, data cleaning, reporting and data science modelling.","DEVOPS ENGINEER, SYSTEM ENGINEER, BUILD RELEASE ENGINEER, PYTHON, SHELL, PERL, BASH, LINUX, UNIX, RHEL, CENTOS, PERFORCE, JENKINS, MAVEN, CONTINUOUS INTEGRATION",3 years,CDP Worldwide,London EC3R,2 weeks ago
Data Quality Manager,"As the data privacy manager, you will make recommendations for data owners and accountable execs but will not make key decisions.","Oracle R12 E-Business, General Ledger, Asset Management, Projects, AME, Workflow etc.",1 year,Aviva,Norwich,3 hours ago
Trainee Data Engineer,"We also have vacancies for junior engineers, no previous experience required, only a keenness to learn new skills and an opportunity to become a data…",Telecommuting not available Travel not required,5+ years,EpiQuestLive,St Albans AL1,7 days ago
MLOPS & Data Engineer (12 Months),"Proven track record productionising data pipelines at scale.
Our Data Engineers will focus on robust delivery of reliable, high-quality data, which our Data…","Scientific Software, Business Analyst, Drug Development, biotech, pharma, data extraction, visualization SQL, R, Spotfire, user training,",3+ years,Aviva,Hybrid remote in Bristol,2 days ago
Senior Data Analyst,"You’ll start working on one of our data standards or data projects, delivering on areas of priority work specified with your delivery team.","Application, C++, Development, Engineer, Engineering, J2EE, Java, Linux, Network, Programming, Python, Shell Script, Software, System",5+ years,Open Data Services Co-operative,Remote,1 week ago
Project Manager,"Proven track record in successfully delivering projects or task work packages.
Supporting a multi-functional team and to manage the scheduling of project…",Telecommuting not available Travel not required,3 years,Leidos,Remote,3 weeks ago
